,Player,Link,StartYear,EndYear,Position,Tenure,Height,Weight,Birthday,All_Star_apps,All_NBA_apps,All_Def_apps,HOF,Games,PPG,TRPG,APG,FG_pct,3_pt_pct,FT_pct,eFG_pct,PER,WS,Avg Games Played,> Avg Games
38,Carlos Arroyo,/players/a/arroyca01.html,2002,2011,G,9,188,91,1979-07-30,0,0,0,0,569,6.6,1.7,3.1,43.8,33.8,80.6,45.9,13.4,20.1,63.22222222222222,1
39,Vincent Askew,/players/a/askewvi01.html,1988,1998,GF,10,198,95,1966-02-28,0,0,0,0,467,7.1,2.5,2.2,47.9,30.0,75.4,49.4,12.6,22.1,46.7,0
40,Keith Askins,/players/a/askinke01.html,1991,1999,GF,8,201,89,1967-12-15,0,0,0,0,486,3.8,2.9,0.8,40.1,35.5,71.7,48.3,9.2,14.5,60.75,0
41,Chucky Atkins,/players/a/atkinch01.html,2000,2010,G,10,180,72,1974-08-14,0,0,0,0,696,9.9,1.7,3.4,41.2,36.4,77.2,48.9,13.1,27.9,69.6,1
43,Stacey Augmon,/players/a/augmost01.html,1992,2006,FG,14,203,92,1968-08-01,0,0,0,0,1001,8.0,3.2,1.6,46.9,15.2,72.8,47.0,13.7,43.8,71.5,1
44,Isaac Austin,/players/a/austiis01.html,1992,2002,C,10,208,115,1969-08-18,0,0,0,0,432,7.6,4.7,1.2,44.6,17.6,67.0,44.8,13.0,9.2,43.2,0
45,Anthony Avent,/players/a/aventan01.html,1993,2000,F,7,206,106,1969-10-18,0,0,0,0,352,5.6,4.5,0.8,40.3,0.0,68.6,40.3,8.8,0.3,50.285714285714285,0
46,Dennis Awtrey,/players/a/awtrede01.html,1971,1982,C,11,208,106,1948-02-22,0,0,0,0,733,4.8,4.6,2.0,45.9,-,65.2,45.9,10.5,22.4,66.63636363636364,1
47,Jeff Ayres,/players/p/pendeje02.html,2010,2016,F,6,206,108,1987-04-29,0,0,0,0,237,2.9,2.7,0.4,55.3,40.0,77.6,55.5,12.4,6.3,39.5,0
48,Kelenna Azubuike,/players/a/azubuke01.html,2007,2012,G,5,196,99,1983-12-16,0,0,0,0,208,10.5,4.0,1.1,45.9,40.9,77.0,51.9,14.3,9.3,41.6,0
49,John Bagley,/players/b/baglejo01.html,1983,1994,G,11,183,83,1960-04-23,0,0,0,0,665,8.7,2.6,6.0,43.7,24.1,77.9,44.8,13.0,16.6,60.45454545454545,0
50,Gus Bailey,/players/b/bailegu01.html,1975,1980,GF,5,196,83,1951-02-18,0,0,0,0,147,2.6,1.7,1.1,40.6,100.0,51.0,40.8,11.3,0.8,29.4,0
51,James Bailey,/players/b/baileja01.html,1980,1988,FC,8,206,99,1957-05-21,0,0,0,0,595,8.8,5.0,0.8,48.4,7.7,70.3,48.4,13.0,16.3,74.375,1
52,Thurl Bailey,/players/b/baileth01.html,1984,1999,FC,15,211,97,1961-04-07,0,0,0,0,928,12.8,5.1,1.4,47.3,11.4,81.2,47.3,14.3,45.0,61.86666666666667,1
53,Vin Baker,/players/b/bakervi01.html,1994,2006,F,12,211,105,1971-11-23,4,2,0,0,791,15.0,7.4,1.9,48.5,21.5,63.8,48.7,16.3,47.0,65.91666666666667,1
54,Renaldo Balkman,/players/b/balkmre01.html,2007,2012,F,5,203,94,1984-07-14,0,0,0,0,221,4.0,3.5,0.6,51.0,17.2,54.2,51.8,14.3,7.2,44.2,0
55,Greg Ballard,/players/b/ballagr01.html,1978,1989,F,11,201,97,1955-01-29,0,0,0,0,802,12.4,6.1,2.2,47.2,33.8,78.7,47.7,15.7,54.0,72.9090909090909,1
56,Gene Banks,/players/b/banksge01.html,1982,1987,FG,5,201,97,1959-05-15,0,0,0,0,468,11.3,5.8,2.9,53.9,4.3,73.0,53.9,15.1,31.2,93.6,1
57,Marcus Banks,/players/b/banksma01.html,2004,2011,G,7,188,90,1981-11-19,0,0,0,0,348,5.9,1.5,2.1,43.2,32.7,76.8,46.9,12.2,6.6,49.714285714285715,0
58,Ken Bannister,/players/b/bannike01.html,1985,1991,FC,6,206,106,1960-04-01,0,0,0,0,253,5.9,3.5,0.4,48.8,0.0,49.2,48.8,8.9,0.6,42.166666666666664,0
59,Mike Bantom,/players/b/bantomi01.html,1974,1982,FC,8,206,90,1951-12-03,0,0,0,0,706,12.1,6.4,2.3,46.8,20.0,69.2,46.8,14.3,34.8,88.25,1
60,Andrea Bargnani,/players/b/bargnan01.html,2007,2016,FC,9,213,111,1985-10-26,0,0,0,0,550,14.3,4.6,1.2,43.9,35.4,82.4,48.6,14.4,18.9,61.111111111111114,1
61,Charles Barkley,/players/b/barklch01.html,1985,2000,F,15,198,114,1963-02-20,11,11,0,Hall of Fame,1073,22.1,11.7,3.9,54.1,26.6,73.5,55.8,24.6,177.2,71.53333333333333,1
63,Marvin Barnes,/players/b/barnema01.html,1975,1980,FC,5,203,95,1952-07-27,2,0,0,0,315,16.0,9.1,2.1,48.1,21.4,69.1,48.1,18.1,20.6,63.0,1
66,John Barnhill,/players/b/barnhjo01.html,1963,1972,G,9,185,81,1938-03-20,0,0,0,0,589,8.6,2.5,2.9,40.6,23.6,65.8,41.6,10.7,12.7,65.44444444444444,1
67,Earl Barron,/players/b/barroea01.html,2006,2015,C,9,213,113,1981-08-14,0,0,0,0,140,4.6,3.5,0.5,37.1,16.7,70.2,37.3,8.6,-0.6,15.555555555555555,0
68,Dana Barros,/players/b/barroda01.html,1990,2004,G,14,180,73,1967-04-13,1,0,0,0,850,10.5,1.9,3.3,46.0,41.1,85.8,53.6,16.4,49.6,60.714285714285715,0
69,Brent Barry,/players/b/barrybr01.html,1996,2009,G,13,198,83,1971-12-31,0,0,0,0,912,9.3,3.0,3.2,46.0,40.5,82.3,57.0,15.7,70.5,70.15384615384616,1
70,Jon Barry,/players/b/barryjo01.html,1993,2006,G,13,193,88,1969-07-25,0,0,0,0,821,5.7,1.8,2.2,43.4,39.2,84.8,52.4,14.7,37.2,63.15384615384615,1
71,Rick Barry,/players/b/barryri01.html,1966,1980,F,14,201,92,1944-03-28,12,6,0,Hall of Fame,1020,24.8,6.7,4.9,45.6,29.7,89.3,46.0,21.0,128.9,72.85714285714286,1
72,Tim Bassett,/players/b/basseti01.html,1974,1980,FC,6,203,102,1951-04-01,0,0,0,0,473,6.2,6.7,1.2,42.3,28.6,58.8,42.4,10.2,12.9,78.83333333333333,1
73,Maceo Baston,/players/b/bastoma01.html,2003,2009,F,6,206,97,1975-05-29,0,0,0,0,105,2.7,1.7,0.2,61.6,37.5,74.0,62.5,14.4,2.3,17.5,0
74,Tony Battie,/players/b/battito01.html,1998,2012,CF,14,211,104,1976-02-11,0,0,0,0,837,6.1,5.1,0.6,48.8,16.2,69.0,49.0,12.6,36.4,59.785714285714285,0
75,Shane Battier,/players/b/battish01.html,2002,2014,F,12,203,99,1978-09-09,0,0,2,0,977,8.6,4.2,1.8,43.7,38.4,74.3,52.9,12.6,75.7,81.41666666666667,1
76,John Battle,/players/b/battljo01.html,1986,1995,G,9,188,79,1962-11-09,0,0,0,0,612,8.7,1.3,2.1,46.4,27.3,79.3,47.1,13.7,17.9,68.0,1
79,John Beasley,/players/b/beasljo01.html,1968,1974,FC,6,206,102,1944-02-05,3,0,0,0,506,13.7,8.4,1.2,49.1,31.6,83.1,49.9,19.6,37.9,84.33333333333333,1
80,Zelmo Beaty,/players/b/beatyze01.html,1963,1975,C,12,206,102,1939-10-25,5,0,0,Hall of Fame,889,17.1,10.9,1.5,49.4,15.4,77.1,49.4,18.7,106.0,74.08333333333333,1
81,Byron Beck,/players/b/beckby01.html,1968,1977,CF,9,206,102,1945-01-25,2,0,0,0,747,11.5,7.0,1.3,50.5,29.5,81.1,50.5,16.3,55.0,83.0,1
83,Arthur Becker,/players/b/beckear01.html,1968,1973,F,5,201,92,1942-01-12,2,0,0,0,414,12.5,6.3,1.0,48.0,32.1,83.5,48.1,16.3,28.1,82.8,1
84,William Bedford,/players/b/bedfowi01.html,1987,1993,C,6,213,102,1963-12-14,0,0,0,0,238,4.1,2.4,0.5,41.6,31.8,60.5,41.9,9.7,0.9,39.666666666666664,0
85,Ron Behagen,/players/b/behagro01.html,1974,1980,FC,6,206,83,1951-01-14,0,0,0,0,388,10.3,7.0,1.6,42.5,-,75.4,42.5,14.2,13.0,64.66666666666667,1
86,Charlie Bell,/players/b/bellch01.html,2002,2011,G,9,190,90,1979-03-12,0,0,0,0,376,8.5,2.2,2.3,41.2,36.1,76.9,48.8,11.2,12.5,41.77777777777778,0
87,Raja Bell,/players/b/bellra01.html,2001,2012,G,11,196,92,1976-09-19,0,0,2,0,706,9.9,2.8,1.7,43.4,40.6,79.9,51.4,10.9,32.7,64.18181818181819,1
89,Jonathan Bender,/players/b/bendejo01.html,2000,2010,F,10,211,91,1981-01-30,0,0,0,0,262,5.5,2.2,0.6,41.7,34.0,76.3,45.8,10.9,3.8,26.2,0
90,Benoit Benjamin,/players/b/benjabe01.html,1986,2000,C,14,213,113,1964-11-22,0,0,0,0,807,11.4,7.5,1.3,49.7,4.8,72.1,49.7,14.8,32.7,57.642857142857146,0
91,Mel Bennett,/players/b/benneme01.html,1976,1982,F,6,201,90,1955-01-04,0,0,0,0,204,6.9,4.7,1.0,38.2,0.0,60.9,38.2,10.8,0.9,34.0,0
92,David Benoit,/players/b/benoida01.html,1992,2001,F,9,203,99,1968-05-09,0,0,0,0,492,7.0,4.0,0.6,43.8,31.9,79.5,47.2,12.0,16.9,54.666666666666664,0
93,Kent Benson,/players/b/bensoke01.html,1978,1988,C,10,208,106,1954-12-27,0,0,0,0,680,9.1,5.7,1.8,49.3,20.6,75.7,49.4,14.2,33.6,68.0,1
94,Travis Best,/players/b/besttr01.html,1996,2005,G,9,180,82,1972-07-12,0,0,0,0,708,7.6,1.8,3.5,43.1,34.5,83.5,46.0,13.8,30.9,78.66666666666667,1
96,Henry Bibby,/players/b/bibbyhe01.html,1973,1981,G,8,185,83,1949-11-24,0,0,0,0,675,8.6,2.3,3.3,42.4,29.3,78.2,42.8,12.3,24.5,84.375,1
97,Mike Bibby,/players/b/bibbymi01.html,1999,2012,G,13,185,86,1978-05-13,0,0,0,0,1001,14.7,3.1,5.5,43.6,37.9,80.2,49.7,16.1,73.2,77.0,1
98,Andris Biedriņš,/players/b/biedran01.html,2005,2014,C,9,211,108,1986-04-02,0,0,0,0,516,6.3,7.0,0.9,59.4,0.0,50.0,59.4,15.3,30.7,57.333333333333336,0
99,Chauncey Billups,/players/b/billuch01.html,1998,2014,G,16,190,91,1976-09-25,5,3,2,0,1043,15.2,2.9,5.4,41.5,38.7,89.4,49.5,18.8,120.8,65.1875,1
101,Larry Bird,/players/b/birdla01.html,1980,1992,F,12,206,99,1956-12-07,12,10,3,Hall of Fame,897,24.3,10.0,6.3,49.6,37.6,88.6,51.4,23.5,145.8,74.75,1
102,Otis Birdsong,/players/b/birdsot01.html,1978,1989,G,11,190,86,1955-12-09,4,0,0,0,696,18.0,3.0,3.2,50.6,27.4,65.5,50.9,16.5,48.2,63.27272727272727,1
103,Rolando Blackman,/players/b/blackro01.html,1982,1994,G,12,198,86,1959-02-26,4,0,0,0,980,18.0,3.3,3.0,49.3,34.3,84.0,50.1,16.7,75.6,81.66666666666667,1
104,DeJuan Blair,/players/b/blairde01.html,2010,2016,FC,6,201,122,1989-04-22,0,0,0,0,424,6.8,5.1,0.8,52.4,0.0,60.8,52.4,16.5,19.0,70.66666666666667,1
105,Steve Blake,/players/b/blakest01.html,2004,2016,G,12,190,78,1980-02-26,0,0,0,0,870,6.5,2.1,4.0,40.1,38.3,77.9,50.1,11.1,29.1,72.5,1
106,Andray Blatche,/players/b/blatcan01.html,2006,2014,F,8,211,106,1986-08-22,0,0,0,0,564,10.1,5.4,1.4,46.7,23.7,72.5,47.2,16.8,19.2,70.5,1
107,Mookie Blaylock,/players/b/blaylmo01.html,1990,2002,G,12,183,81,1967-03-20,1,0,6,0,889,13.5,4.1,6.7,40.9,33.6,73.6,46.5,16.8,71.8,74.08333333333333,1
109,Corie Blount,/players/b/blounco01.html,1994,2004,F,10,206,108,1969-01-04,0,0,0,0,644,3.6,4.2,0.7,47.1,11.5,58.7,47.1,11.1,18.2,64.4,1
110,Mark Blount,/players/b/blounma01.html,2001,2009,C,8,213,104,1975-11-30,0,0,0,0,605,8.2,4.6,0.8,50.4,35.9,72.3,50.8,12.5,18.8,75.625,1
113,Keith Bogans,/players/b/boganke01.html,2004,2014,GF,10,196,97,1980-05-12,0,0,0,0,671,6.3,2.7,1.3,39.4,35.3,71.6,48.9,9.6,20.4,67.1,1
114,Muggsy Bogues,/players/b/boguemu01.html,1988,2001,G,13,160,61,1965-01-09,0,0,0,0,889,7.7,2.6,7.6,45.8,27.8,82.7,46.7,15.0,54.0,68.38461538461539,1
115,Manute Bol,/players/b/bolma01.html,1986,1995,C,9,231,90,1962-10-16,0,0,0,0,624,2.6,4.2,0.3,40.7,21.0,56.1,42.0,9.4,12.3,69.33333333333333,1
116,Anthony Bonner,/players/b/bonnean01.html,1991,1996,F,5,203,97,1968-06-08,0,0,0,0,318,6.9,5.4,1.4,46.8,12.5,59.0,46.9,11.5,10.8,63.6,1
117,Matt Bonner,/players/b/bonnema01.html,2005,2016,F,11,208,106,1980-04-05,0,0,0,0,792,5.8,3.0,0.7,46.4,41.4,78.0,57.0,13.6,38.5,72.0,1
118,Ron Boone,/players/b/boonero01.html,1969,1981,GF,12,188,90,1946-09-06,4,0,0,0,1041,16.8,4.2,3.7,46.1,30.4,83.7,46.6,15.4,59.3,86.75,1
119,Calvin Booth,/players/b/boothca01.html,2000,2009,C,9,211,104,1976-05-07,0,0,0,0,366,3.3,2.8,0.4,45.1,22.2,74.8,45.2,12.4,8.0,40.666666666666664,0
121,Carlos Boozer,/players/b/boozeca01.html,2003,2015,FC,12,206,117,1981-11-20,2,0,0,0,861,16.2,9.5,2.2,52.1,7.1,72.2,52.1,19.5,80.3,71.75,1
122,Chris Bosh,/players/b/boshch01.html,2004,2016,FC,12,211,106,1984-03-24,11,0,0,0,893,19.2,8.5,2.0,49.4,33.5,79.9,50.6,20.6,106.0,74.41666666666667,1
123,Tom Boswell,/players/b/bosweto01.html,1976,1984,FC,8,206,99,1953-10-02,0,0,0,0,366,7.7,4.7,1.6,53.3,54.5,72.4,53.4,13.7,15.2,45.75,0
124,Bruce Bowen,/players/b/bowenbr01.html,1997,2009,F,12,201,83,1971-06-14,0,0,8,0,873,6.1,2.8,1.2,40.9,39.3,57.5,49.4,8.2,42.9,72.75,1
125,Ryan Bowen,/players/b/bowenry01.html,2000,2010,F,10,201,97,1975-11-20,0,0,0,0,507,2.6,2.1,0.5,45.6,20.6,69.3,46.2,10.5,12.4,50.7,0
126,Anthony Bowie,/players/b/bowiean01.html,1989,1998,GF,9,198,86,1963-11-09,0,0,0,0,461,6.4,2.2,1.8,47.5,31.8,82.4,48.7,11.7,12.3,51.22222222222222,0
127,Sam Bowie,/players/b/bowiesa01.html,1985,1995,CF,10,216,106,1961-03-17,0,0,0,0,511,10.9,7.5,2.1,45.2,30.2,74.8,45.6,14.6,26.9,51.1,0
128,Nate Bowman,/players/b/bowmana01.html,1967,1972,C,5,208,104,1943-03-19,0,0,0,0,261,2.9,3.4,0.7,38.8,0.0,52.9,38.8,9.2,1.0,52.2,0
130,Earl Boykins,/players/b/boykiea01.html,1999,2012,G,13,165,61,1976-06-02,0,0,0,0,652,8.9,1.3,3.2,41.7,34.8,87.6,45.5,15.7,26.0,50.15384615384615,0
131,Gary Bradds,/players/b/braddga01.html,1965,1971,F,6,203,95,1942-07-26,0,0,0,0,254,12.2,5.5,0.9,47.5,5.6,79.8,47.5,18.8,15.8,42.333333333333336,0
133,Dudley Bradley,/players/b/bradldu01.html,1980,1989,GF,9,198,88,1957-03-19,0,0,0,0,600,5.2,1.8,1.9,44.0,29.3,73.0,45.8,12.0,16.5,66.66666666666667,1
134,Shawn Bradley,/players/b/bradlsh01.html,1994,2005,C,11,229,106,1972-03-22,0,0,0,0,832,8.1,6.3,0.7,45.7,10.3,71.6,45.7,16.0,40.7,75.63636363636364,1
135,Elton Brand,/players/b/brandel01.html,2000,2016,F,16,203,124,1979-03-11,2,0,0,0,1058,15.9,8.5,2.1,50.0,9.5,73.6,50.1,20.5,109.6,66.125,1
136,Terrell Brandon,/players/b/brandte01.html,1992,2002,G,10,180,81,1970-05-20,2,0,0,0,724,13.8,3.0,6.1,44.8,35.5,87.3,47.1,19.7,65.9,72.4,1
138,Mike Bratz,/players/b/bratzmi01.html,1978,1986,G,8,188,83,1955-10-17,0,0,0,0,586,7.0,1.8,3.2,40.7,30.5,83.0,42.6,12.0,11.1,73.25,1
140,Randy Breuer,/players/b/breuera01.html,1984,1994,C,10,221,104,1960-10-11,0,0,0,0,681,6.8,4.4,0.9,46.7,0.0,62.8,46.7,13.2,20.9,68.1,1
141,Jim Brewer,/players/b/breweji01.html,1974,1982,FC,8,206,95,1951-12-03,0,0,2,0,703,5.8,6.3,1.5,44.8,7.7,57.1,44.8,12.2,29.3,87.875,1
142,Ron Brewer,/players/b/brewero01.html,1979,1986,G,7,193,81,1955-09-16,0,0,0,0,501,11.9,1.9,1.8,45.9,24.8,82.4,46.2,13.0,17.3,71.57142857142857,1
143,Ronnie Brewer,/players/b/brewero02.html,2007,2014,GF,7,201,99,1985-03-20,0,0,0,0,502,7.8,2.8,1.6,49.0,25.4,67.5,50.5,14.4,30.4,71.71428571428571,1
144,Primož Brezec,/players/b/brezepr01.html,2002,2010,C,8,218,114,1979-10-02,0,0,0,0,342,7.2,3.9,0.5,49.8,16.7,70.1,49.8,13.6,10.8,42.75,0
146,Frank Brickowski,/players/b/brickfr01.html,1985,1997,FC,12,206,108,1959-08-14,0,0,0,0,731,10.0,4.7,1.9,51.9,32.4,74.0,52.4,14.2,29.8,60.916666666666664,0
147,Junior Bridgeman,/players/b/bridgju01.html,1976,1987,FG,11,196,95,1953-09-17,0,0,0,0,849,13.6,3.5,2.4,47.5,24.4,84.6,47.7,15.6,45.0,77.18181818181819,1
149,John Brisker,/players/b/briskjo01.html,1970,1975,FG,5,196,95,1947-06-15,2,0,0,0,331,20.7,6.5,2.4,45.3,32.1,83.4,46.7,20.1,22.1,66.2,1
150,Allan Bristow,/players/b/bristal01.html,1974,1983,FG,9,201,95,1951-08-23,0,0,0,0,695,7.8,4.0,3.2,46.0,28.1,80.1,46.2,14.6,24.6,77.22222222222223,1
151,Michael Brooks,/players/b/brookmi01.html,1981,1988,F,7,201,99,1958-08-17,0,0,0,0,319,12.8,6.3,2.6,48.6,15.2,71.4,48.6,15.2,16.5,45.57142857142857,0
152,Scott Brooks,/players/b/brooksc01.html,1989,1998,G,9,180,74,1965-07-31,0,0,0,0,680,4.9,1.0,2.4,45.0,37.2,84.9,50.3,14.5,23.5,75.55555555555556,1
153,Chucky Brown,/players/b/brownch01.html,1990,2002,F,12,201,97,1968-02-29,0,0,0,0,694,5.9,3.1,0.8,49.1,22.7,69.9,49.4,11.6,19.0,57.833333333333336,0
154,Dee Brown,/players/b/brownde01.html,1991,2002,G,11,185,72,1968-11-29,0,0,0,0,608,11.1,2.6,3.7,43.6,35.7,82.5,48.8,14.6,33.4,55.27272727272727,0
155,Devin Brown,/players/b/brownde02.html,2003,2010,G,7,196,99,1978-12-30,0,0,0,0,465,7.2,2.8,1.5,40.1,33.8,77.6,45.2,11.9,13.3,66.42857142857143,1
156,Fred Brown,/players/b/brownfr01.html,1972,1984,G,12,190,82,1948-08-07,1,0,0,0,963,14.6,2.7,3.3,47.8,37.3,85.8,48.2,17.7,63.2,80.25,1
157,John Brown,/players/b/brownjo01.html,1974,1980,F,6,201,99,1951-12-14,0,0,0,0,486,7.4,4.4,1.4,45.3,-,78.3,45.3,11.7,16.2,81.0,1
158,Kwame Brown,/players/b/brownkw01.html,2002,2013,F,11,211,122,1982-03-10,0,0,0,0,607,6.6,5.5,0.9,49.2,11.1,57.0,49.2,12.5,20.8,55.18181818181818,0
159,Mike Brown,/players/b/brownmi01.html,1987,1997,CF,10,206,116,1963-07-19,0,0,0,0,626,5.0,4.4,0.7,45.5,12.5,69.0,45.5,9.7,15.9,62.6,1
160,P.J. Brown,/players/b/brownpj01.html,1994,2008,FC,14,211,102,1969-10-14,0,0,3,0,1089,9.1,7.7,1.5,46.0,13.6,79.4,46.1,14.1,89.8,77.78571428571429,1
161,Randy Brown,/players/b/brownra02.html,1992,2003,G,11,188,86,1968-05-22,0,0,0,0,655,4.8,1.8,2.2,41.7,20.0,69.1,42.1,10.3,11.0,59.54545454545455,0
162,Roger Brown,/players/b/brownro01.html,1968,1975,FG,7,196,92,1942-05-22,4,0,0,Hall of Fame,605,17.4,6.2,3.8,46.9,32.1,79.1,48.8,17.2,65.2,86.42857142857143,1
